2025-11-01T14:29:23.000000000Z [inf]  Starting Container
2025-11-01T14:29:26.401598053Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:26.401599894Z [err]  }
2025-11-01T14:29:26.401607483Z [inf]  Creating PostgresStore...
2025-11-01T14:29:26.401609690Z [err]  
2025-11-01T14:29:26.401619677Z [err]  Node.js v18.20.8
2025-11-01T14:29:26.401624142Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:26.401632956Z [err]  node:events:495
2025-11-01T14:29:26.401641021Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:26.401649427Z [err]        ^
2025-11-01T14:29:26.401674209Z [err]  
2025-11-01T14:29:26.401682949Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:26.401690345Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:26.401829653Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:26.401841307Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:26.401849040Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:26.401856425Z [err]    errno: -2,
2025-11-01T14:29:26.401864183Z [err]    code: 'ENOENT',
2025-11-01T14:29:26.401871303Z [err]    syscall: 'open',
2025-11-01T14:29:28.352597871Z [err]        ^
2025-11-01T14:29:28.352611074Z [err]  
2025-11-01T14:29:28.352619208Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:28.352649994Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:28.352657323Z [err]    code: 'ENOENT',
2025-11-01T14:29:28.352659599Z [inf]  Server is running on port 8080
2025-11-01T14:29:28.352663926Z [err]  }
2025-11-01T14:29:28.352671321Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:28.352676705Z [err]    syscall: 'open',
2025-11-01T14:29:28.352681314Z [inf]  Creating PostgresStore...
2025-11-01T14:29:28.352692609Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:28.352698318Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:28.352709609Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:28.352718041Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:28.352727302Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:28.352737093Z [err]  Node.js v18.20.8
2025-11-01T14:29:28.352741937Z [err]    errno: -2,
2025-11-01T14:29:28.352781503Z [err]  
2025-11-01T14:29:28.353856782Z [inf]  PostgresStore initialized.
2025-11-01T14:29:28.353942336Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:28.353954392Z [inf]  WhatsApp client created.
2025-11-01T14:29:28.353966368Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:28.353976169Z [err]  node:events:495
2025-11-01T14:29:28.353983799Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:30.573802769Z [inf]  Server is running on port 8080
2025-11-01T14:29:30.573809073Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:30.573814406Z [inf]  Creating PostgresStore...
2025-11-01T14:29:30.573821279Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:30.573830001Z [inf]  PostgresStore initialized.
2025-11-01T14:29:30.573837439Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:30.573843130Z [inf]  WhatsApp client created.
2025-11-01T14:29:30.573848807Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:30.573854932Z [err]  node:events:495
2025-11-01T14:29:30.573860671Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:30.573867094Z [err]        ^
2025-11-01T14:29:30.573872527Z [err]  
2025-11-01T14:29:30.573879867Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:30.573886151Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:30.573896770Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:30.573904297Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:30.573910456Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:30.573916811Z [err]    errno: -2,
2025-11-01T14:29:30.573923084Z [err]    code: 'ENOENT',
2025-11-01T14:29:30.573928497Z [err]    syscall: 'open',
2025-11-01T14:29:30.573935643Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:30.573942649Z [err]  }
2025-11-01T14:29:30.573954728Z [err]  
2025-11-01T14:29:30.573962822Z [err]  Node.js v18.20.8
2025-11-01T14:29:31.715458361Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:31.715491930Z [inf]  Creating PostgresStore...
2025-11-01T14:29:31.715529837Z [inf]  Server is running on port 8080
2025-11-01T14:29:31.718573787Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:32.491733435Z [inf]  PostgresStore initialized.
2025-11-01T14:29:32.491740106Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:32.491746737Z [inf]  WhatsApp client created.
2025-11-01T14:29:32.491753725Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:32.491759919Z [err]  node:events:495
2025-11-01T14:29:32.491766370Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:32.491773684Z [err]        ^
2025-11-01T14:29:32.491780165Z [err]  
2025-11-01T14:29:32.491786245Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:32.491792091Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:32.491798283Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:32.491814646Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:32.491820981Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:32.491826636Z [err]    errno: -2,
2025-11-01T14:29:32.491832520Z [err]    code: 'ENOENT',
2025-11-01T14:29:32.491845292Z [err]    syscall: 'open',
2025-11-01T14:29:32.491851470Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:32.491857764Z [err]  }
2025-11-01T14:29:32.491864070Z [err]  
2025-11-01T14:29:32.491870155Z [err]  Node.js v18.20.8
2025-11-01T14:29:33.663180469Z [inf]  Server is running on port 8080
2025-11-01T14:29:33.663188147Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:33.663195286Z [inf]  Creating PostgresStore...
2025-11-01T14:29:33.666699231Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:33.723681732Z [inf]  PostgresStore initialized.
2025-11-01T14:29:33.723695220Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:33.728013903Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:33.728029568Z [inf]  WhatsApp client created.
2025-11-01T14:29:33.739954693Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:33.739959902Z [err]  node:events:495
2025-11-01T14:29:33.739967055Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:33.739968147Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:33.739974432Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:33.739976783Z [err]        ^
2025-11-01T14:29:33.739980117Z [err]    errno: -2,
2025-11-01T14:29:33.739985477Z [err]  
2025-11-01T14:29:33.739987397Z [err]    code: 'ENOENT',
2025-11-01T14:29:33.739993949Z [err]    syscall: 'open',
2025-11-01T14:29:33.739994331Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:33.740000544Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:33.740003031Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:33.740006023Z [err]  }
2025-11-01T14:29:33.740011076Z [err]  
2025-11-01T14:29:33.740015619Z [err]  Node.js v18.20.8
2025-11-01T14:29:35.571787415Z [inf]  Server is running on port 8080
2025-11-01T14:29:35.571793359Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:35.571799935Z [inf]  Creating PostgresStore...
2025-11-01T14:29:35.578187306Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:35.805092677Z [inf]  PostgresStore initialized.
2025-11-01T14:29:35.805105492Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:35.807986042Z [inf]  WhatsApp client created.
2025-11-01T14:29:35.807993562Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:35.819226481Z [err]  node:events:495
2025-11-01T14:29:35.819231118Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:35.819235289Z [err]        ^
2025-11-01T14:29:35.819240135Z [err]  
2025-11-01T14:29:35.819246051Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:35.819248446Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:35.819252101Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:35.819263568Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:35.819271786Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:35.819279008Z [err]    errno: -2,
2025-11-01T14:29:35.819288533Z [err]    code: 'ENOENT',
2025-11-01T14:29:35.819296602Z [err]    syscall: 'open',
2025-11-01T14:29:35.819305427Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:35.819313167Z [err]  }
2025-11-01T14:29:35.819320659Z [err]  
2025-11-01T14:29:35.819335638Z [err]  Node.js v18.20.8
2025-11-01T14:29:37.576361262Z [inf]  Server is running on port 8080
2025-11-01T14:29:37.576366531Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:37.576372310Z [inf]  Creating PostgresStore...
2025-11-01T14:29:37.583092761Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:37.642653325Z [inf]  PostgresStore initialized.
2025-11-01T14:29:37.642657944Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:37.642662883Z [inf]  WhatsApp client created.
2025-11-01T14:29:37.642668798Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:37.655949477Z [err]  node:events:495
2025-11-01T14:29:37.655955384Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:37.655960191Z [err]        ^
2025-11-01T14:29:37.655964838Z [err]  
2025-11-01T14:29:37.655969818Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:37.655975397Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:37.655980550Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:37.655985014Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:37.655989900Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:37.655994374Z [err]    errno: -2,
2025-11-01T14:29:37.655998664Z [err]    code: 'ENOENT',
2025-11-01T14:29:37.656002946Z [err]    syscall: 'open',
2025-11-01T14:29:37.656007673Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:37.656012321Z [err]  }
2025-11-01T14:29:37.656017049Z [err]  
2025-11-01T14:29:37.656021747Z [err]  Node.js v18.20.8
2025-11-01T14:29:39.517203907Z [inf]  Server is running on port 8080
2025-11-01T14:29:39.517209601Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:39.517217023Z [inf]  Creating PostgresStore...
2025-11-01T14:29:39.522911049Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:39.751620370Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:39.751630547Z [inf]  WhatsApp client created.
2025-11-01T14:29:39.751637217Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:39.751748904Z [inf]  PostgresStore initialized.
2025-11-01T14:29:39.764447224Z [err]  
2025-11-01T14:29:39.764449232Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:39.764449861Z [err]  node:events:495
2025-11-01T14:29:39.764457746Z [err]  Node.js v18.20.8
2025-11-01T14:29:39.764460340Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:39.764463089Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:39.764468567Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:39.764472701Z [err]        ^
2025-11-01T14:29:39.764476567Z [err]    errno: -2,
2025-11-01T14:29:39.764481573Z [err]  
2025-11-01T14:29:39.764483732Z [err]    code: 'ENOENT',
2025-11-01T14:29:39.764489592Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:39.764491825Z [err]    syscall: 'open',
2025-11-01T14:29:39.764497611Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:39.764500463Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:39.764508265Z [err]  }
2025-11-01T14:29:41.674131603Z [inf]  Server is running on port 8080
2025-11-01T14:29:41.674137048Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:41.674144249Z [inf]  Creating PostgresStore...
2025-11-01T14:29:41.676760780Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:41.732127045Z [inf]  PostgresStore initialized.
2025-11-01T14:29:41.732135838Z [inf]  Creating WhatsApp client...
2025-11-01T14:29:41.732141879Z [inf]  WhatsApp client created.
2025-11-01T14:29:41.732146653Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:41.746021373Z [err]  }
2025-11-01T14:29:41.746027038Z [err]    errno: -2,
2025-11-01T14:29:41.746029446Z [err]  
2025-11-01T14:29:41.746043563Z [err]  Node.js v18.20.8
2025-11-01T14:29:41.746054637Z [err]    code: 'ENOENT',
2025-11-01T14:29:41.746063246Z [err]    syscall: 'open',
2025-11-01T14:29:41.746064464Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:41.746072674Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:41.746073233Z [err]        ^
2025-11-01T14:29:41.746081637Z [err]  
2025-11-01T14:29:41.746088204Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:41.746094848Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:41.746100792Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:41.746109069Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:41.746111161Z [err]  node:events:495
2025-11-01T14:29:41.746116880Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:43.783610528Z [inf]  Server is running on port 8080
2025-11-01T14:29:43.783617779Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:43.783624602Z [inf]  Creating PostgresStore...
2025-11-01T14:29:43.791845940Z [inf]  Initializing PostgresStore...
2025-11-01T14:29:44.435579611Z [inf]  WhatsApp client created.
2025-11-01T14:29:44.435605445Z [err]      at emitErrorCloseNT (node:internal/streams/destroy:116:3)
2025-11-01T14:29:44.435618518Z [err]  Error: ENOENT: no such file or directory, open 'RemoteAuth.zip'
2025-11-01T14:29:44.435631639Z [inf]  Initializing WhatsApp client...
2025-11-01T14:29:44.435640766Z [err]  node:events:495
2025-11-01T14:29:44.435650585Z [err]  Node.js v18.20.8
2025-11-01T14:29:44.435651447Z [err]  Emitted 'error' event on ReadStream instance at:
2025-11-01T14:29:44.435658926Z [err]        throw er; // Unhandled 'error' event
2025-11-01T14:29:44.435664201Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {
2025-11-01T14:29:44.435669671Z [err]      at emitErrorNT (node:internal/streams/destroy:151:8)
2025-11-01T14:29:44.435670294Z [err]        ^
2025-11-01T14:29:44.435674327Z [err]    errno: -2,
2025-11-01T14:29:44.435680354Z [err]  
2025-11-01T14:29:44.435688371Z [err]    code: 'ENOENT',
2025-11-01T14:29:44.435695737Z [err]    syscall: 'open',
2025-11-01T14:29:44.435707823Z [err]    path: 'RemoteAuth.zip'
2025-11-01T14:29:44.435714132Z [err]  }
2025-11-01T14:29:44.435721092Z [err]  
2025-11-01T14:29:44.436200431Z [inf]  PostgresStore initialized.
2025-11-01T14:29:44.436206847Z [inf]  Creating WhatsApp client...
